res;kingdom;phylum
-2,06811899520686;Animalia;Echinodermata
-1,06259712960477;Animalia;Echinodermata
-1,44396468613387;Animalia;Echinodermata
-1,34545468814624;Animalia;Echinodermata
-2,53317585166566;Animalia;Echinodermata
1,42129274327815;Animalia;Echinodermata
-0,936716883715763;Animalia;Echinodermata
-1,46198319163655;Animalia;Echinodermata
-2,01382497956513;Animalia;Echinodermata
-1,70811626117546;Animalia;Echinodermata
-2,69036143518807;Animalia;Echinodermata
-2,08616174064462;Animalia;Echinodermata
-1,80575473073937;Animalia;Echinodermata
-1,65696995339284;Animalia;Echinodermata
-2,85162958278419;Animalia;Echinodermata
-3,97411553720086;Animalia;Echinodermata
-1,12551095501534;Animalia;Echinodermata
-1,0266651203787;Animalia;Echinodermata
-1,12551095501534;Animalia;Echinodermata
-1,34218199182393;Animalia;Echinodermata
-1,37497181464692;Animalia;Echinodermata
-1,2066364998277;Animalia;Echinodermata
-1,8583984642248;Animalia;Hemichordata
-2,18380021020854;Animalia;Kinorhyncha
0,831608991439656;Animalia;Loricifera
-2,67848020433077;Animalia;Mollusca
-1,6626538870987;Animalia;Mollusca
-2,03532917238387;Animalia;Mollusca
-0,571476576918108;Animalia;Mollusca
-1,2726508778348;Animalia;Mollusca
-1,91396831537961;Animalia;Mollusca
-0,768836011076603;Animalia;Mollusca
-1,53749074414469;Animalia;Mollusca
-1,68512674295076;Animalia;Mollusca
-2,06811899520686;Animalia;Mollusca
-1,8583984642248;Animalia;Mollusca
-1,35844251269571;Animalia;Mollusca
-0,583174399317691;Animalia;Mollusca
1,39270537378648;Animalia;Mollusca
-2,15682964227371;Animalia;Mollusca
-3,70138067126318;Animalia;Mollusca
-1,17885693572063;Animalia;Mollusca
-2,06811899520686;Animalia;Mollusca
-3,92082112055571;Animalia;Mollusca
-0,631901719009043;Animalia;Mollusca
-1,22082113481966;Animalia;Mollusca
-2,83258472982448;Animalia;Mollusca
-0,518132024038131;Animalia;Mollusca
-2,17347951086469;Animalia;Mollusca
-4,20209162496736;Animalia;Mollusca
-0,377474980273968;Animalia;Mollusca
-1,18276841577111;Animalia;Mollusca
0,396805044325551;Animalia;Mollusca
-2,1608018492519;Animalia;Mollusca
0,88931548252326;Animalia;Mollusca
-1,30406707406818;Animalia;Mollusca
-1,42626510903447;Animalia;Mollusca
-1,8583984642248;Animalia;Mollusca
1,55533265358462;Animalia;Mollusca
-1,83173021714263;Animalia;Mollusca
-4,18221477732613;Animalia;Mollusca
-1,59811536596113;Animalia;Mollusca
-2,77930892120457;Animalia;Mollusca
0,784512434706453;Animalia;Mollusca
-1,88579743841291;Animalia;Mollusca
-0,750817505573925;Animalia;Mollusca
0,927613278347127;Animalia;Mollusca
-1,23520987227176;Animalia;Mollusca
-1,6626538870987;Animalia;Mollusca
-0,657132021496603;Animalia;Mollusca
-1,05047576907242;Animalia;Mollusca
0,949048559067192;Animalia;Mollusca
1,27238431778304;Animalia;Mollusca
-0,926021594599016;Animalia;Mollusca
1,02217220982375;Animalia;Mollusca
0,689779011622913;Animalia;Mollusca
0,990588077508515;Animalia;Mollusca
-0,478883790090284;Animalia;Mollusca
-0,492582634448445;Animalia;Mollusca
1,40694823502175;Animalia;Mollusca
1,61825732868895;Animalia;Mollusca
-0,753611655531423;Animalia;Mollusca
1,24606700946566;Animalia;Mollusca
0,534570690237519;Animalia;Mollusca
-4,77616919630908;Animalia;Mollusca
0,317581004497688;Animalia;Mollusca
-0,325900938475939;Animalia;Mollusca
0,934257821065795;Animalia;Mollusca
1,1291926517455;Animalia;Mollusca
0,708627737181581;Animalia;Mollusca
1,38398271631706;Animalia;Mollusca
-0,257339366505765;Animalia;Mollusca
-0,1469182829475;Animalia;Mollusca
3,8873728914423;Animalia;Mollusca
0,939212414190479;Animalia;Mollusca
